Year,RecreationVisitors,TotalRecreationVisitors
1906,5414,194741451
1907,7102,194741451
1908,8850,194741451
1909,13182,194741451
1910,13619,194741451
1911,12530,194741451
1912,10884,194741451
1913,13735,194741451
1914,15145,194741451
1915,33452,194741451
1916,33390,194741451
1917,34510,194741451
1918,33527,194741451
1919,58362,194741451
1920,68906,194741451
1921,91513,194741451
1922,100506,194741451
1923,130046,194741451
1924,105894,194741451
1925,209166,194741451
1926,274209,194741451
1927,490430,194741451
1928,460619,194741451
1929,461257,194741451
1930,458566,194741451
1931,461855,194741451
1932,498289,194741451
1933,296088,194741451
1934,309431,194741451
1935,372317,194741451
1936,431192,194741451
1937,481492,194741451
1938,443325,194741451
1939,466552,194741451
1940,506781,194741451
1941,597863,194741451
1942,319816,194741451
1943,116682,194741451
1944,120494,194741451
1945,290569,194741451
1946,640483,194741451
1947,777622,194741451
1948,745899,194741451
1949,808372,194741451
1950,820953,194741451
1951,858405,194741451
1952,973971,194741451
1953,969225,194741451
1954,1008000,194741451
1955,984200,194741451
1956,1114200,194741451
1957,1138700,194741451
1958,1139300,194741451
1959,1061500,194741451
1960,1150400,194741451
1961,1227100,194741451
1962,1505500,194741451
1963,1473400,194741451
1964,1547000,194741451
1965,1635400,194741451
1966,1817100,194741451
1967,2238300,194741451
1968,2281100,194741451
1969,2291300,194741451
1970,2277200,194741451
1971,2342200,194741451
1972,2190301,194741451
1973,2254300,194741451
1974,2274600,194741451
1975,2537400,194741451
1976,2682400,194741451
1977,2392600,194741451
1978,2569268,194741451
1979,2350782,194741451
1980,2490282,194741451
1981,2516893,194741451
1982,2415587,194741451
1983,2457464,194741451
1984,2738467,194741451
1985,2831952,194741451
1986,2876717,194741451
1987,3152275,194741451
1988,3216681,194741451
1989,3308159,194741451
1990,3124939,194741451
1991,3423101,194741451
1992,3819518,194741451
1993,3839645,194741451
1994,3962117,194741451
1995,3958406,194741451
1996,4046207,194741451
1997,3669970,194741451
1998,3657132,194741451
1999,3493607,194741451
2000,3400903,194741451
2001,3368731,194741451
2002,3361867,194741451
2003,3378664,194741451
2004,3280911,194741451
2005,3304144,194741451
2006,3242644,194741451
2007,3503428,194741451
2008,3431514,194741451
2009,3737472,194741451
2010,3901408,194741451
2011,3951393,194741451
2012,3853404,194741451
2013,3691191,194741451
2014,3882642,194741451
2015,4150217,194741451
2016,5028868,194741451
2017,4336890,194741451